scenario,method,seed,NMR,MSD,PE,MS_s,FT_drone_s,AU,RID_CR,RTF
01_corridor_crossing,sdacs_hybrid,5,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,137504.71717988545
01_corridor_crossing,sdacs_hybrid,6,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,144229.38242071378
01_corridor_crossing,sdacs_hybrid,7,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,183791.43346534562
01_corridor_crossing,sdacs_hybrid,8,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,198228.06139333075
01_corridor_crossing,sdacs_hybrid,9,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,188941.86258525093
01_corridor_crossing,vo,0,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,5468.759755471201
01_corridor_crossing,vo,1,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,10413.356448583263
01_corridor_crossing,vo,10,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,5576.841706269699
01_corridor_crossing,vo,11,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,9967.888447355686
01_corridor_crossing,vo,12,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,5549.028596314283
01_corridor_crossing,vo,13,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,5949.793657823942
01_corridor_crossing,vo,14,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,10280.608054638788
01_corridor_crossing,vo,15,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,5583.0707894282605
01_corridor_crossing,vo,16,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,10645.532682058414
01_corridor_crossing,vo,17,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,5589.596890701406
01_corridor_crossing,vo,18,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,8894.570872552507
01_corridor_crossing,vo,19,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,10353.552536724332
01_corridor_crossing,vo,2,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,10867.54395923567
01_corridor_crossing,vo,20,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,6351.756685956959
01_corridor_crossing,vo,21,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,10702.486223228352
01_corridor_crossing,vo,22,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,8448.182859245146
01_corridor_crossing,vo,23,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,4849.427564142828
01_corridor_crossing,vo,24,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,10409.770193822342
01_corridor_crossing,vo,25,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,10685.746502457388
01_corridor_crossing,vo,26,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,4918.198339357136
01_corridor_crossing,vo,27,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,10597.827574890574
01_corridor_crossing,vo,28,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,10917.761596806391
01_corridor_crossing,vo,29,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,5599.349380507143
01_corridor_crossing,vo,3,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,7054.711047824922
01_corridor_crossing,vo,4,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,7465.240285974732
01_corridor_crossing,vo,5,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,5562.5068005735775
01_corridor_crossing,vo,6,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,10605.287973393284
01_corridor_crossing,vo,7,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,5593.1303433029325
01_corridor_crossing,vo,8,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,10394.573385801303
01_corridor_crossing,vo,9,0.0,9.432095647288765,0.7456249829049068,180.0,527.0,0.7347222222222223,0.0,5560.2696001803915
02_dense_intersection,cbs,0,0.0,16.43748607308084,1.0,117.0,1121.0,0.30026041666666664,0.0,104401.61560904898
02_dense_intersection,cbs,1,0.0,12.095776805681277,1.0,106.0,1166.0,0.31197916666666664,0.0,111201.25619817858
02_dense_intersection,cbs,10,0.0,9.011059427753295,1.0,111.0,1177.0,0.31484375,0.0,107962.69888443225
02_dense_intersection,cbs,11,0.0,16.262318706678272,1.0,117.0,1086.0,0.2911458333333333,0.0,115312.04640899488
02_dense_intersection,cbs,12,0.0,9.637141912439764,1.0,130.0,1324.0,0.353125,0.0,91301.75763671582
02_dense_intersection,cbs,13,0.0,15.52424377610431,1.0,110.0,1201.0,0.32109375,0.0,37711.952960706454
02_dense_intersection,cbs,14,0.0,7.165487760610716,0.9999999999999998,101.0,1249.0,0.33359375,0.0,103230.64608439694
02_dense_intersection,cbs,15,0.0,19.358090089752476,1.0,114.0,1227.0,0.32786458333333335,0.0,101505.02343694298
02_dense_intersection,cbs,16,0.0,13.52298800100539,1.0,132.0,1134.0,0.30364583333333334,0.0,110649.91611033221
