agents_finished,agents_total,horizon_s,method,scenario,seed,tick_count,wall_clock_s
8,8,180.0,orca,03_emergency_landing,28,180,0.0030177339999681863
8,8,180.0,orca,03_emergency_landing,29,180,0.006861128999958055
8,8,180.0,orca,03_emergency_landing,3,180,0.0027544769999394703
8,8,180.0,orca,03_emergency_landing,4,180,0.0007233800000676638
8,8,180.0,orca,03_emergency_landing,5,180,0.005991136999909941
8,8,180.0,orca,03_emergency_landing,6,180,0.004753152000034788
8,8,180.0,orca,03_emergency_landing,7,180,0.0072313219999387
8,8,180.0,orca,03_emergency_landing,8,180,0.0025651419999803693
8,8,180.0,orca,03_emergency_landing,9,180,0.005442652000056114
8,8,180.0,sdacs_hybrid,03_emergency_landing,0,180,0.03184588799990706
8,8,180.0,sdacs_hybrid,03_emergency_landing,1,180,0.03020079300006273
8,8,180.0,sdacs_hybrid,03_emergency_landing,10,180,0.04510480800001915
8,8,180.0,sdacs_hybrid,03_emergency_landing,11,180,0.04275885800007018
8,8,180.0,sdacs_hybrid,03_emergency_landing,12,180,0.03951581199999055
8,8,180.0,sdacs_hybrid,03_emergency_landing,13,180,0.025578094000024976
8,8,180.0,sdacs_hybrid,03_emergency_landing,14,180,0.04383969299999535
8,8,180.0,sdacs_hybrid,03_emergency_landing,15,180,0.041008413999975346
8,8,180.0,sdacs_hybrid,03_emergency_landing,16,180,0.031746928999950796
8,8,180.0,sdacs_hybrid,03_emergency_landing,17,180,0.03230875099995956
8,8,180.0,sdacs_hybrid,03_emergency_landing,18,180,0.030148910999969303
8,8,180.0,sdacs_hybrid,03_emergency_landing,19,180,0.032313890999944306
8,8,180.0,sdacs_hybrid,03_emergency_landing,2,180,0.023565787000052296
8,8,180.0,sdacs_hybrid,03_emergency_landing,20,180,0.03238108400000783
8,8,180.0,sdacs_hybrid,03_emergency_landing,21,180,0.035914531999992505
8,8,180.0,sdacs_hybrid,03_emergency_landing,22,180,0.029831332999947335
8,8,180.0,sdacs_hybrid,03_emergency_landing,23,180,0.04730528899995079
8,8,180.0,sdacs_hybrid,03_emergency_landing,24,180,0.040415488000007826
8,8,180.0,sdacs_hybrid,03_emergency_landing,25,180,0.03974811599994155
8,8,180.0,sdacs_hybrid,03_emergency_landing,26,180,0.03925331200002802
8,8,180.0,sdacs_hybrid,03_emergency_landing,27,180,0.022614561000068534
8,8,180.0,sdacs_hybrid,03_emergency_landing,28,180,0.037392202999967594
8,8,180.0,sdacs_hybrid,03_emergency_landing,29,180,0.03745115399999577
8,8,180.0,sdacs_hybrid,03_emergency_landing,3,180,0.05484668999997666
8,8,180.0,sdacs_hybrid,03_emergency_landing,4,180,0.03303092099997684
8,8,180.0,sdacs_hybrid,03_emergency_landing,5,180,0.037390502999983255
8,8,180.0,sdacs_hybrid,03_emergency_landing,6,180,0.037757843000008506
8,8,180.0,sdacs_hybrid,03_emergency_landing,7,180,0.06357749300002524
8,8,180.0,sdacs_hybrid,03_emergency_landing,8,180,0.049480340000059186
8,8,180.0,sdacs_hybrid,03_emergency_landing,9,180,0.035623877000034554
6,8,180.0,vo,03_emergency_landing,0,180,0.10762249200001861
8,8,180.0,vo,03_emergency_landing,1,180,0.06181231400000797
7,8,180.0,vo,03_emergency_landing,10,180,0.09159470500003408
7,8,180.0,vo,03_emergency_landing,11,180,0.08058284799994908
7,8,180.0,vo,03_emergency_landing,12,180,0.09147946200005208
7,8,180.0,vo,03_emergency_landing,13,180,0.07956764900006874
8,8,180.0,vo,03_emergency_landing,14,180,0.06613411499995436
6,8,180.0,vo,03_emergency_landing,15,180,0.0856074420000823
7,8,180.0,vo,03_emergency_landing,16,180,0.06573147300002802
7,8,180.0,vo,03_emergency_landing,17,180,0.07625861700000769
6,8,180.0,vo,03_emergency_landing,18,180,0.12015487700000449
7,8,180.0,vo,03_emergency_landing,19,180,0.058009668000067904
7,8,180.0,vo,03_emergency_landing,2,180,0.07030983100003141
6,8,180.0,vo,03_emergency_landing,20,180,0.09614883200003987
8,8,180.0,vo,03_emergency_landing,21,180,0.06756002899999203
6,8,180.0,vo,03_emergency_landing,22,180,0.07095132900008139
7,8,180.0,vo,03_emergency_landing,23,180,0.06338045799998326
7,8,180.0,vo,03_emergency_landing,24,180,0.08305965600004583
8,8,180.0,vo,03_emergency_landing,25,180,0.05901998599995295
8,8,180.0,vo,03_emergency_landing,26,180,0.05145859599997493
7,8,180.0,vo,03_emergency_landing,27,180,0.12445401200000106
7,8,180.0,vo,03_emergency_landing,28,180,0.09308206700006849
6,8,180.0,vo,03_emergency_landing,29,180,0.10565924299999097
8,8,180.0,vo,03_emergency_landing,3,180,0.051739673000042785
7,8,180.0,vo,03_emergency_landing,4,180,0.08407679800006918
5,8,180.0,vo,03_emergency_landing,5,180,0.11293412000009084
5,8,180.0,vo,03_emergency_landing,6,180,0.10472936099995422
8,8,180.0,vo,03_emergency_landing,7,180,0.05205751200003306
8,8,180.0,vo,03_emergency_landing,8,180,0.05736285000000407
8,8,180.0,vo,03_emergency_landing,9,180,0.07080026500000258
8,8,240.0,cbs,04_no_fly_zone,0,241,0.014196485999946162
8,8,240.0,cbs,04_no_fly_zone,1,241,0.012424766999970416
8,8,240.0,cbs,04_no_fly_zone,10,241,0.012603671000078975
8,8,240.0,cbs,04_no_fly_zone,11,241,0.011101139000061266
8,8,240.0,cbs,04_no_fly_zone,12,241,0.02299009599994406
8,8,240.0,cbs,04_no_fly_zone,13,241,0.016780147999952533
