AU,FT_drone_s,LAANC_latency_ms,MSD,MS_s,NMR,PE,RID_CR,RTF,TTC_mean_s,TTC_median_s,TTC_p5_s,TTC_p95_s,VCU_handoff_rate,VCU_mean_occupancy,geofence_violations,method,peak_memory_mb,scenario,seed,tick_p50_ms,tick_p95_ms,tick_p99_ms,wall_clock_seconds
0.5048611111111111,1444.0,nan,12.038484025401914,240.0,0.0,0.9228756321501216,0.0,4294.386799852931,nan,nan,nan,nan,nan,nan,0.0,vo,nan,06_priority_aircraft,42,0.18296999996891827,0.4547014999616294,0.4822103102924302,0.0558869080000477
0.5461805555555556,1563.0,nan,49.492326998694,240.0,0.0,0.90548259894662,0.0,4161.795487346337,nan,nan,nan,nan,nan,nan,0.0,vo,nan,06_priority_aircraft,43,0.21055100000921811,0.443670550043862,0.46865408990015567,0.057667418000164616
0.6253472222222222,1792.0,nan,22.87002276316012,240.0,0.0,0.8997839210192745,0.0,3659.544131507314,nan,nan,nan,nan,nan,nan,0.0,vo,nan,06_priority_aircraft,44,0.3111385001375311,0.4560425500585552,0.4960839001205385,0.06558193899991238
0.24722222222222223,866.0,nan,18.731146568297817,113.0,0.0,1.0,0.0,50099.68166543266,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,07_communication_loss,42,0.00040999975681188516,0.007760000244161347,0.015420999716297956,0.005988062000142236
0.26388888888888884,926.0,nan,12.016789470183635,135.0,0.0,0.9999999999999999,0.0,48512.68986908766,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,07_communication_loss,43,0.00041000021155923605,0.008189999789465219,0.010320000001229346,0.006183948999932909
0.29055555555555557,1022.0,nan,11.022106511293652,122.0,0.0,1.0,0.0,53306.637369299526,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,07_communication_loss,44,0.0003800000740739051,0.008170000000973232,0.01556999995955266,0.005627817000004143
0.24805555555555558,881.0,nan,18.150101609278664,115.0,0.0,1.0,0.0,248504.00585279547,nan,nan,nan,nan,nan,nan,0.0,orca,nan,07_communication_loss,42,0.00040999975681188516,0.011871499964399845,0.017428899886908687,0.0012072240001543832
0.265,942.0,nan,13.04244597496162,137.0,0.0,1.0,0.0,251057.7901637226,nan,nan,nan,nan,nan,nan,0.0,orca,nan,07_communication_loss,43,0.00038999996831989847,0.011211049809389808,0.013307399690347596,0.001194943999962561
0.291388888888889,1037.0,nan,9.944444901194721,123.0,0.0,1.0,0.0,202127.59507470846,nan,nan,nan,nan,nan,nan,0.0,orca,nan,07_communication_loss,44,0.00040999975681188516,0.013187950207793621,0.033587109687687175,0.0014842109999335662
1.0,918.0,100.32547425153894,18.438754767584363,119.0,0.0,0.9940891696233436,1.0,25251.37533675499,20.318956350710614,20.31895664809896,0.2900789875166225,40.3478327390704,0.04,3.0,0.0,sdacs_hybrid,nan,07_communication_loss,42,0.011221000022487715,0.10883800009651179,0.15234752999731352,0.011880541000209632
1.0,1001.0,95.96996378433244,9.327400360364658,145.0,0.0,0.9843967130779988,1.0,22180.70815130388,36.70397287499922,55.068358379818534,2.7901011525136505,57.5802388408236,0.04,3.0,0.0,sdacs_hybrid,nan,07_communication_loss,43,0.05481200014401111,0.12601605005784225,0.17443701011416088,0.013525267000204622
1.0,1082.0,106.17538192463502,17.14779976009346,124.0,0.0,0.9891136973207705,1.0,24709.095698275705,22.93214361460005,22.281221044017673,5.150654500916693,44.79073792894718,0.04,3.01,0.0,sdacs_hybrid,nan,07_communication_loss,44,0.012890499874629313,0.11400400026104765,0.17517481030154117,0.012141277999944577
0.2866666666666667,1020.0,nan,13.519787568882533,131.0,0.0,0.9258735238293063,0.0,7253.115902350361,nan,nan,nan,nan,nan,nan,0.0,vo,nan,07_communication_loss,42,0.0026400002752779983,0.4938835003940767,0.5411704996140543,0.04136153399986142
0.3919444444444445,1401.0,nan,24.50350706823792,300.0,0.0,0.8682421707657356,0.0,5664.815474236279,nan,nan,nan,nan,nan,nan,0.0,vo,nan,07_communication_loss,43,0.07612200033690897,0.45615849962814536,0.4853555901308937,0.052958476999720006
0.48805555555555563,1748.0,nan,27.00288996100293,300.0,0.0,0.8214409473162428,0.0,4155.584933690962,nan,nan,nan,nan,nan,nan,0.0,vo,nan,07_communication_loss,44,0.15028899974822707,0.5226895002806488,0.5907902197941436,0.07219200300005468
0.1756,10136.0,nan,0.15701852539359606,87.0,6.197654941373535e-06,1.0,0.0,5639.494841133813,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,08_stress_high_density,42,0.005390000296756625,0.13201399997342378,6.119381000189605,0.05319625399988581
0.17390000000000003,10034.0,nan,0.20657690247517735,90.0,6.030150753768844e-06,1.0,0.0,6065.4193077567625,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,08_stress_high_density,43,0.005280000095808646,0.2884279997488193,2.4229880000348203,0.04946071900030802
0.17656666666666665,10194.0,nan,0.05844492050270844,91.0,6.8676716917922945e-06,1.0,0.0,5682.187631646565,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,08_stress_high_density,44,0.005390999831433874,0.130122999962623,6.105120000029274,0.05279656699985935
0.17650000000000002,10390.0,nan,1.5571749707997946,89.0,5.1926298157453935e-06,1.0,0.0,23265.73345283396,nan,nan,nan,nan,nan,nan,0.0,orca,nan,08_stress_high_density,42,0.005359999704523943,0.18018100008703192,0.2204386998391783,0.012894499999674736
0.17498333333333332,10299.0,nan,1.6682618158048317,91.0,5.527638190954774e-06,1.0,0.0,23212.751599418265,nan,nan,nan,nan,nan,nan,0.0,orca,nan,08_stress_high_density,43,0.005400999953053542,0.18570995023310388,0.2145363996896776,0.012923931000386801
0.17756666666666668,10454.0,nan,1.2608727935009787,92.0,6.700167504187605e-06,1.0,0.0,22920.963551661567,nan,nan,nan,nan,nan,nan,0.0,orca,nan,08_stress_high_density,44,0.0052099999265919905,0.18020999998498155,0.22526549023496045,0.0130884549998882
1.0,20656.0,99.5856748165082,2.4348312917005615,174.0,3.015075376884422e-06,0.9774921715280397,1.0,150.13281093761717,26.713435293888157,23.37851031283853,0.0,59.754960182068146,0.67,50.0,0.0,sdacs_hybrid,nan,08_stress_high_density,42,7.027430999869466,16.342569200332957,25.031489260118175,1.9982307539999056
1.0,20561.0,100.18526512757438,1.0286373994905107,179.0,2.512562814070352e-06,0.9781573708269697,1.0,141.87255784480382,21.1078765043694,17.14113191305289,0.0,54.779837555221846,0.67,50.0,0.0,sdacs_hybrid,nan,08_stress_high_density,43,7.205351000038718,18.030191049888348,23.003828160149162,2.114573844000006
